# timestamp_sec,line
1778011082.167216,I (196320) mpu6050 stream: AX:0.376 AY:0.107 AZ:0.907 | GX:-3.557 GY:18.000 GZ:16.947 | T:30.13 C
1778011082.169215,I (197320) mpu6050 stream: AX:0.709 AY:-0.023 AZ:0.921 | GX:4.290 GY:10.473 GZ:7.008 | T:30.13 C
1778011082.171215,I (198320) mpu6050 stream: AX:0.326 AY:0.192 AZ:1.027 | GX:-28.611 GY:-58.458 GZ:1.618 | T:30.27 C
1778011082.172783,I (199320) mpu6050 stream: AX:0.773 AY:-0.109 AZ:0.897 | GX:-16.031 GY:15.206 GZ:-13.084 | T:30.22 C
1778011082.174226,I (200320) mpu6050 stream: AX:0.317 AY:0.168 AZ:0.875 | GX:-12.137 GY:-7.802 GZ:16.595 | T:30.22 C
1778011082.175265,I (201320) mpu6050 stream: AX:0.514 AY:-0.158 AZ:1.031 | GX:2.702 GY:5.282 GZ:-8.122 | T:30.13 C
1778011082.176283,I (202320) mpu6050 stream: AX:0.599 AY:0.006 AZ:0.934 | GX:-8.687 GY:-4.260 GZ:0.076 | T:30.13 C
1778011082.177317,I (203320) mpu6050 stream: AX:0.671 AY:0.003 AZ:0.956 | GX:10.962 GY:25.527 GZ:-10.260 | T:30.18 C
1778011082.178346,I (204320) mpu6050 stream: AX:0.565 AY:0.109 AZ:0.898 | GX:14.458 GY:33.710 GZ:12.015 | T:30.08 C
1778011082.180547,I (205320) mpu6050 stream: AX:0.318 AY:0.037 AZ:1.009 | GX:-29.893 GY:-5.908 GZ:-12.687 | T:30.18 C
1778011082.182020,I (206320) mpu6050 stream: AX:0.598 AY:-0.022 AZ:0.757 | GX:-3.725 GY:-10.244 GZ:19.740 | T:30.13 C
1778011082.183056,I (207320) mpu6050 stream: AX:0.575 AY:-0.112 AZ:0.739 | GX:-14.855 GY:28.427 GZ:3.069 | T:30.13 C
1778011082.184063,I (208320) mpu6050 stream: AX:0.508 AY:-0.145 AZ:0.885 | GX:40.550 GY:0.809 GZ:-60.824 | T:30.13 C
1778011082.186234,I (209320) mpu6050 stream: AX:0.469 AY:-0.087 AZ:0.992 | GX:-4.305 GY:31.710 GZ:-16.397 | T:30.22 C
1778011082.188091,I (210320) mpu6050 stream: AX:0.544 AY:0.040 AZ:0.849 | GX:-10.382 GY:3.985 GZ:-1.756 | T:30.08 C
1778011082.189811,I (211320) mpu6050 stream: AX:0.583 AY:-0.094 AZ:0.824 | GX:9.145 GY:23.664 GZ:7.389 | T:30.18 C
1778011082.191156,I (212320) mpu6050 stream: AX:0.338 AY:0.093 AZ:1.048 | GX:26.351 GY:7.802 GZ:-19.237 | T:30.22 C
1778011082.192216,I (213320) mpu6050 stream: AX:0.445 AY:0.174 AZ:0.929 | GX:-29.160 GY:13.756 GZ:-7.038 | T:30.22 C
1778011082.193038,I (214320) mpu6050 stream: AX:0.436 AY:0.092 AZ:0.965 | GX:3.924 GY:-19.695 GZ:3.466 | T:30.22 C
1778011082.193728,I (215320) mpu6050 stream: AX:0.308 AY:0.171 AZ:1.044 | GX:-8.901 GY:14.779 GZ:-9.099 | T:30.27 C
1778011082.194329,I (216320) mpu6050 stream: AX:0.503 AY:0.086 AZ:0.924 | GX:-2.885 GY:-3.038 GZ:-2.290 | T:30.18 C
1778011082.194890,I (217320) mpu6050 stream: AX:0.469 AY:0.220 AZ:0.979 | GX:-17.420 GY:23.817 GZ:-2.244 | T:30.22 C
1778011082.195647,I (218320) mpu6050 stream: AX:0.387 AY:0.262 AZ:1.106 | GX:10.122 GY:14.687 GZ:-8.702 | T:30.27 C
1778011082.196332,I (219320) mpu6050 stream: AX:0.384 AY:0.256 AZ:1.010 | GX:-10.015 GY:3.618 GZ:-9.023 | T:30.27 C
1778011082.196958,I (220320) mpu6050 stream: AX:0.371 AY:0.100 AZ:0.936 | GX:-2.214 GY:1.069 GZ:3.435 | T:30.32 C
1778011082.197573,I (221320) mpu6050 stream: AX:0.436 AY:0.116 AZ:0.911 | GX:3.267 GY:-19.817 GZ:-2.519 | T:30.41 C
1778011082.198642,I (222320) mpu6050 stream: AX:0.241 AY:0.291 AZ:1.007 | GX:-1.160 GY:-13.130 GZ:-0.595 | T:30.32 C
1778011082.199518,I (223320) mpu6050 stream: AX:0.376 AY:0.048 AZ:0.991 | GX:-5.832 GY:1.252 GZ:8.015 | T:30.32 C
1778011082.200319,I (224320) mpu6050 stream: AX:0.409 AY:0.060 AZ:0.994 | GX:-1.466 GY:3.466 GZ:5.573 | T:30.32 C
1778011082.201070,I (225320) mpu6050 stream: AX:0.437 AY:0.042 AZ:0.948 | GX:-2.504 GY:3.618 GZ:1.023 | T:30.32 C
1778011082.201782,I (226320) mpu6050 stream: AX:0.418 AY:0.099 AZ:1.002 | GX:-4.183 GY:4.122 GZ:1.450 | T:30.41 C
1778011082.202359,I (227320) mpu6050 stream: AX:0.389 AY:0.061 AZ:0.987 | GX:-6.290 GY:-0.641 GZ:-0.580 | T:30.51 C
1778011082.202928,I (228320) mpu6050 stream: AX:0.437 AY:0.085 AZ:1.029 | GX:-6.809 GY:2.000 GZ:-1.084 | T:30.41 C
1778011082.203690,I (229320) mpu6050 stream: AX:0.455 AY:0.080 AZ:1.012 | GX:-3.008 GY:1.328 GZ:-1.145 | T:30.32 C
1778011082.204246,I (230320) mpu6050 stream: AX:0.455 AY:0.080 AZ:0.963 | GX:-4.122 GY:0.672 GZ:-1.649 | T:30.46 C
1778011082.204792,I (231320) mpu6050 stream: AX:0.420 AY:0.071 AZ:0.967 | GX:-8.351 GY:2.519 GZ:3.237 | T:30.46 C
1778011082.205355,I (232320) mpu6050 stream: AX:0.554 AY:0.048 AZ:0.873 | GX:-11.420 GY:-5.069 GZ:-2.427 | T:30.41 C
1778011082.205905,I (233320) mpu6050 stream: AX:0.516 AY:0.181 AZ:0.909 | GX:0.840 GY:-6.794 GZ:-13.145 | T:30.46 C
1778011082.206445,I (234320) mpu6050 stream: AX:0.386 AY:0.009 AZ:0.892 | GX:8.748 GY:16.076 GZ:0.076 | T:30.51 C
1778011082.206997,I (235320) mpu6050 stream: AX:0.269 AY:-0.059 AZ:1.014 | GX:-10.885 GY:4.397 GZ:9.771 | T:30.60 C
1778011082.207566,I (236320) mpu6050 stream: AX:0.220 AY:-0.698 AZ:1.047 | GX:-24.443 GY:12.214 GZ:-66.931 | T:30.55 C
1778011082.208135,I (237320) mpu6050 stream: AX:0.107 AY:-0.282 AZ:0.862 | GX:-50.763 GY:319.588 GZ:26.275 | T:30.60 C
1778011082.208692,I (238320) mpu6050 stream: AX:0.053 AY:-0.036 AZ:1.012 | GX:3.389 GY:-57.756 GZ:0.641 | T:30.65 C
1778011082.209250,I (239320) mpu6050 stream: AX:0.069 AY:0.086 AZ:1.038 | GX:-10.122 GY:13.359 GZ:26.382 | T:30.74 C
1778011082.209807,I (240320) mpu6050 stream: AX:-0.048 AY:0.021 AZ:0.998 | GX:-9.817 GY:15.939 GZ:14.916 | T:30.69 C
1778011082.210359,I (241320) mpu6050 stream: AX:0.039 AY:-0.189 AZ:1.084 | GX:2.489 GY:24.550 GZ:-4.122 | T:30.65 C
1778011082.210918,I (242320) mpu6050 stream: AX:-0.303 AY:0.083 AZ:1.083 | GX:-9.237 GY:20.550 GZ:13.252 | T:30.60 C
1778011082.211470,I (243320) mpu6050 stream: AX:0.103 AY:0.021 AZ:1.045 | GX:-24.718 GY:20.076 GZ:0.504 | T:30.65 C
1778011082.212021,I (244320) mpu6050 stream: AX:-0.045 AY:-0.064 AZ:1.143 | GX:-5.817 GY:7.191 GZ:-6.061 | T:30.65 C
