# timestamp_sec,line
1778008954.719978,I (201320) mpu6050 stream: AX:0.394 AY:0.224 AZ:0.944 | GX:-4.122 GY:0.382 GZ:0.580 | T:30.69 C
1778008954.721063,I (202320) mpu6050 stream: AX:0.375 AY:0.214 AZ:0.960 | GX:-5.908 GY:1.145 GZ:2.992 | T:30.69 C
1778008954.722077,I (203320) mpu6050 stream: AX:0.463 AY:0.240 AZ:0.917 | GX:-4.931 GY:2.550 GZ:1.405 | T:30.79 C
1778008954.723184,I (204320) mpu6050 stream: AX:0.488 AY:0.198 AZ:0.945 | GX:-6.763 GY:2.214 GZ:0.153 | T:30.79 C
1778008954.724212,I (205320) mpu6050 stream: AX:0.158 AY:0.079 AZ:1.008 | GX:-19.481 GY:74.107 GZ:-0.840 | T:30.69 C
1778008954.725218,I (206320) mpu6050 stream: AX:0.637 AY:0.136 AZ:0.826 | GX:-5.939 GY:-7.679 GZ:-0.489 | T:30.74 C
1778008954.727136,I (207320) mpu6050 stream: AX:0.340 AY:0.279 AZ:0.972 | GX:-13.344 GY:60.214 GZ:-20.015 | T:30.74 C
1778008954.728359,I (208320) mpu6050 stream: AX:0.645 AY:0.202 AZ:0.911 | GX:-7.466 GY:3.649 GZ:3.878 | T:30.79 C
1778008954.729669,I (209320) mpu6050 stream: AX:0.461 AY:0.016 AZ:1.057 | GX:4.229 GY:20.305 GZ:-12.718 | T:30.74 C
1778008954.730691,I (210320) mpu6050 stream: AX:0.573 AY:0.216 AZ:1.049 | GX:4.076 GY:2.198 GZ:-6.840 | T:30.65 C
1778008954.732491,I (211320) mpu6050 stream: AX:0.416 AY:0.243 AZ:1.033 | GX:-8.595 GY:-2.809 GZ:-0.656 | T:30.69 C
1778008954.733610,I (212320) mpu6050 stream: AX:0.296 AY:0.102 AZ:0.871 | GX:-12.412 GY:-9.328 GZ:7.206 | T:30.74 C
1778008954.734590,I (213320) mpu6050 stream: AX:0.350 AY:0.155 AZ:1.031 | GX:-0.260 GY:0.153 GZ:0.229 | T:30.69 C
1778008954.735755,I (214320) mpu6050 stream: AX:0.340 AY:0.133 AZ:1.000 | GX:-1.359 GY:1.679 GZ:-2.611 | T:30.65 C
1778008954.737930,I (215320) mpu6050 stream: AX:0.368 AY:0.181 AZ:1.012 | GX:-2.809 GY:0.733 GZ:-1.145 | T:30.79 C
1778008954.738956,I (216320) mpu6050 stream: AX:0.402 AY:0.257 AZ:0.938 | GX:-11.069 GY:14.458 GZ:10.733 | T:30.60 C
1778008954.740037,I (217320) mpu6050 stream: AX:0.667 AY:0.295 AZ:0.807 | GX:4.885 GY:-22.168 GZ:-8.901 | T:30.65 C
1778008954.741015,I (218320) mpu6050 stream: AX:0.690 AY:0.395 AZ:0.795 | GX:-10.534 GY:7.924 GZ:-5.802 | T:30.51 C
1778008954.741987,I (219320) mpu6050 stream: AX:0.223 AY:0.048 AZ:0.963 | GX:-3.130 GY:39.679 GZ:2.595 | T:30.60 C
1778008954.742961,I (220320) mpu6050 stream: AX:0.308 AY:0.248 AZ:1.042 | GX:-5.618 GY:-12.168 GZ:6.519 | T:30.74 C
1778008954.743938,I (221320) mpu6050 stream: AX:0.372 AY:0.023 AZ:1.097 | GX:15.603 GY:56.214 GZ:15.802 | T:30.60 C
1778008954.744891,I (222320) mpu6050 stream: AX:0.376 AY:0.118 AZ:0.989 | GX:-6.763 GY:0.061 GZ:4.672 | T:30.69 C
1778008954.746156,I (223320) mpu6050 stream: AX:0.361 AY:0.088 AZ:0.974 | GX:-6.229 GY:4.687 GZ:1.557 | T:30.65 C
1778008954.747138,I (224320) mpu6050 stream: AX:0.346 AY:0.097 AZ:1.002 | GX:-4.260 GY:-0.809 GZ:0.916 | T:30.60 C
1778008954.748119,I (225320) mpu6050 stream: AX:0.359 AY:0.099 AZ:1.006 | GX:-4.275 GY:0.763 GZ:-0.473 | T:30.55 C
1778008954.749094,I (226320) mpu6050 stream: AX:0.375 AY:0.096 AZ:0.992 | GX:-2.687 GY:1.847 GZ:-0.534 | T:30.74 C
1778008954.750093,I (227320) mpu6050 stream: AX:0.361 AY:0.102 AZ:0.989 | GX:-2.229 GY:2.061 GZ:-1.481 | T:30.65 C
1778008954.962078,I (228320) mpu6050 stream: AX:0.339 AY:0.022 AZ:1.046 | GX:-12.076 GY:10.992 GZ:-3.725 | T:30.55 C
1778008955.961429,I (229320) mpu6050 stream: AX:0.240 AY:-0.000 AZ:1.060 | GX:-4.656 GY:-13.847 GZ:-15.252 | T:30.69 C
1778008956.962132,I (230320) mpu6050 stream: AX:0.314 AY:0.403 AZ:0.905 | GX:-4.473 GY:8.092 GZ:-1.038 | T:30.46 C
1778008957.962910,I (231320) mpu6050 stream: AX:0.294 AY:0.394 AZ:0.933 | GX:-13.466 GY:4.687 GZ:-0.229 | T:30.55 C
