# timestamp_sec,line
1778010654.526230,I (4320) mpu6050 stream: AX:0.214 AY:-0.594 AZ:0.848 | GX:-1.420 GY:1.206 GZ:0.611 | T:24.48 C
1778010654.527322,I (5320) mpu6050 stream: AX:0.217 AY:-0.603 AZ:0.855 | GX:-6.824 GY:1.969 GZ:-0.489 | T:24.48 C
1778010654.528449,I (6320) mpu6050 stream: AX:0.212 AY:-0.609 AZ:0.844 | GX:-2.656 GY:1.634 GZ:0.137 | T:24.58 C
1778010654.529556,I (7320) mpu6050 stream: AX:0.217 AY:-0.591 AZ:0.868 | GX:-3.527 GY:0.977 GZ:0.183 | T:24.48 C
1778010654.530607,I (8320) mpu6050 stream: AX:0.203 AY:-0.615 AZ:0.846 | GX:-4.672 GY:2.977 GZ:-0.214 | T:24.58 C
1778010654.531613,I (9320) mpu6050 stream: AX:0.215 AY:-0.601 AZ:0.859 | GX:-2.595 GY:1.374 GZ:0.168 | T:24.62 C
1778010654.532667,I (10320) mpu6050 stream: AX:0.220 AY:-0.602 AZ:0.876 | GX:-6.504 GY:3.130 GZ:-0.702 | T:24.58 C
1778010654.533681,I (11320) mpu6050 stream: AX:0.203 AY:-0.611 AZ:0.862 | GX:-5.206 GY:0.244 GZ:0.122 | T:24.62 C
1778010654.534655,I (12320) mpu6050 stream: AX:0.220 AY:-0.611 AZ:0.860 | GX:-4.656 GY:1.038 GZ:0.107 | T:24.58 C
1778010654.535652,I (13320) mpu6050 stream: AX:0.210 AY:-0.611 AZ:0.838 | GX:-6.534 GY:1.420 GZ:-0.198 | T:24.53 C
1778010654.536658,I (14320) mpu6050 stream: AX:0.197 AY:-0.600 AZ:0.836 | GX:-2.519 GY:1.084 GZ:1.298 | T:24.53 C
1778010654.537633,I (15320) mpu6050 stream: AX:0.211 AY:-0.592 AZ:0.852 | GX:-3.679 GY:1.191 GZ:0.397 | T:24.58 C
1778010654.538653,I (16320) mpu6050 stream: AX:0.201 AY:-0.622 AZ:0.845 | GX:-4.534 GY:2.107 GZ:0.031 | T:24.53 C
1778010654.539877,I (17320) mpu6050 stream: AX:0.226 AY:-0.604 AZ:0.862 | GX:-3.450 GY:1.695 GZ:0.031 | T:24.67 C
1778010654.541150,I (18320) mpu6050 stream: AX:0.210 AY:-0.613 AZ:0.853 | GX:-5.221 GY:2.702 GZ:0.153 | T:24.53 C
1778010654.542402,I (19320) mpu6050 stream: AX:0.208 AY:-0.601 AZ:0.836 | GX:-3.130 GY:1.466 GZ:0.244 | T:24.58 C
1778010654.543646,I (20320) mpu6050 stream: AX:0.215 AY:-0.606 AZ:0.848 | GX:-5.008 GY:1.832 GZ:0.031 | T:24.58 C
1778010654.544825,I (21320) mpu6050 stream: AX:0.212 AY:-0.618 AZ:0.854 | GX:-3.954 GY:2.076 GZ:-0.107 | T:24.58 C
1778010654.545906,I (22320) mpu6050 stream: AX:0.210 AY:-0.598 AZ:0.855 | GX:-3.573 GY:1.817 GZ:-0.229 | T:24.62 C
1778010654.547037,I (23320) mpu6050 stream: AX:0.216 AY:-0.608 AZ:0.857 | GX:-3.679 GY:1.969 GZ:0.046 | T:24.53 C
1778010654.548248,I (24320) mpu6050 stream: AX:0.210 AY:-0.604 AZ:0.844 | GX:-2.763 GY:1.847 GZ:0.366 | T:24.53 C
1778010654.549690,I (25320) mpu6050 stream: AX:0.222 AY:-0.606 AZ:0.858 | GX:-4.977 GY:1.221 GZ:-0.214 | T:24.58 C
1778010654.550872,I (26320) mpu6050 stream: AX:0.222 AY:-0.590 AZ:0.833 | GX:3.115 GY:-1.405 GZ:3.939 | T:24.62 C
1778010654.552037,I (27320) mpu6050 stream: AX:0.217 AY:-0.603 AZ:0.855 | GX:-3.282 GY:-0.702 GZ:0.260 | T:24.58 C
1778010654.553061,I (28320) mpu6050 stream: AX:0.206 AY:-0.610 AZ:0.851 | GX:-1.985 GY:1.573 GZ:0.244 | T:24.58 C
1778010654.554029,I (29320) mpu6050 stream: AX:0.202 AY:-0.604 AZ:0.836 | GX:-0.168 GY:1.634 GZ:1.359 | T:24.53 C
1778010654.555013,I (30320) mpu6050 stream: AX:0.222 AY:-0.644 AZ:0.864 | GX:-4.321 GY:3.328 GZ:-0.840 | T:24.62 C
