# timestamp_sec,line
1778009102.470118,I (346320) mpu6050 stream: AX:0.415 AY:0.100 AZ:1.077 | GX:5.328 GY:1.374 GZ:11.939 | T:29.99 C
1778009102.475338,I (347320) mpu6050 stream: AX:0.386 AY:0.104 AZ:1.002 | GX:-1.466 GY:2.076 GZ:1.634 | T:29.94 C
1778009102.478108,I (348320) mpu6050 stream: AX:0.422 AY:0.056 AZ:0.963 | GX:-5.863 GY:-1.527 GZ:0.962 | T:30.08 C
1778009102.481154,I (349320) mpu6050 stream: AX:0.453 AY:0.067 AZ:1.003 | GX:-7.420 GY:0.366 GZ:1.771 | T:29.99 C
1778009102.483456,I (350320) mpu6050 stream: AX:0.478 AY:0.058 AZ:0.982 | GX:-5.954 GY:0.336 GZ:2.748 | T:29.99 C
1778009102.486646,I (351320) mpu6050 stream: AX:0.470 AY:0.044 AZ:0.961 | GX:-2.427 GY:1.802 GZ:-1.084 | T:30.04 C
1778009102.491262,I (352320) mpu6050 stream: AX:0.457 AY:0.022 AZ:0.950 | GX:-3.420 GY:0.275 GZ:-0.748 | T:29.99 C
1778009102.496430,I (353320) mpu6050 stream: AX:0.468 AY:0.050 AZ:0.970 | GX:-6.992 GY:0.855 GZ:2.931 | T:30.13 C
1778009102.498700,I (354320) mpu6050 stream: AX:0.463 AY:0.046 AZ:0.952 | GX:-5.069 GY:1.893 GZ:0.046 | T:29.94 C
1778009102.499768,I (355320) mpu6050 stream: AX:0.485 AY:0.046 AZ:0.964 | GX:-2.366 GY:-0.153 GZ:-1.771 | T:29.99 C
1778009102.500770,I (356320) mpu6050 stream: AX:0.484 AY:0.041 AZ:0.950 | GX:-4.870 GY:1.985 GZ:-0.977 | T:30.08 C
1778009102.501787,I (357320) mpu6050 stream: AX:0.495 AY:0.039 AZ:0.964 | GX:-4.122 GY:0.198 GZ:0.977 | T:29.89 C
1778009102.505362,I (358320) mpu6050 stream: AX:0.508 AY:0.035 AZ:0.948 | GX:-3.908 GY:-0.672 GZ:-0.733 | T:30.04 C
1778009102.508847,I (359320) mpu6050 stream: AX:0.518 AY:0.035 AZ:0.957 | GX:-4.412 GY:0.687 GZ:-0.092 | T:30.08 C
1778009102.509866,I (360320) mpu6050 stream: AX:0.516 AY:0.048 AZ:0.943 | GX:-6.824 GY:2.137 GZ:-1.038 | T:29.99 C
1778009102.510865,I (361320) mpu6050 stream: AX:0.487 AY:0.040 AZ:0.941 | GX:-6.015 GY:1.832 GZ:1.191 | T:30.04 C
1778009102.512025,I (362320) mpu6050 stream: AX:0.505 AY:0.029 AZ:0.927 | GX:-5.206 GY:-1.038 GZ:0.427 | T:30.13 C
1778009102.513073,I (363320) mpu6050 stream: AX:0.563 AY:0.027 AZ:0.930 | GX:-3.573 GY:0.840 GZ:0.611 | T:30.08 C
1778009102.514587,I (364320) mpu6050 stream: AX:0.543 AY:0.025 AZ:0.958 | GX:-4.519 GY:2.382 GZ:-0.443 | T:30.04 C
1778009102.516351,I (365320) mpu6050 stream: AX:0.535 AY:0.008 AZ:0.924 | GX:-6.076 GY:0.427 GZ:0.229 | T:30.08 C
1778009102.518104,I (366320) mpu6050 stream: AX:0.534 AY:0.017 AZ:0.924 | GX:-4.840 GY:1.725 GZ:1.313 | T:30.08 C
1778009102.519940,I (367320) mpu6050 stream: AX:0.528 AY:0.028 AZ:0.931 | GX:-3.740 GY:1.664 GZ:0.977 | T:30.13 C
1778009102.520959,I (368320) mpu6050 stream: AX:0.549 AY:0.031 AZ:0.920 | GX:-3.420 GY:0.412 GZ:-1.527 | T:30.18 C
1778009102.521711,I (369320) mpu6050 stream: AX:0.562 AY:0.030 AZ:0.913 | GX:-3.725 GY:0.336 GZ:-2.779 | T:30.18 C
1778009102.522282,I (370320) mpu6050 stream: AX:0.570 AY:0.039 AZ:0.907 | GX:-4.275 GY:3.053 GZ:0.137 | T:30.18 C
1778009102.522851,I (371320) mpu6050 stream: AX:0.560 AY:0.035 AZ:0.914 | GX:-5.710 GY:2.092 GZ:0.748 | T:30.13 C
1778009102.523525,I (372320) mpu6050 stream: AX:0.589 AY:0.034 AZ:0.908 | GX:-3.756 GY:2.809 GZ:-1.481 | T:30.18 C
1778009102.524093,I (373320) mpu6050 stream: AX:0.599 AY:0.004 AZ:0.873 | GX:-2.763 GY:-2.305 GZ:3.450 | T:30.18 C
1778009102.524673,I (374320) mpu6050 stream: AX:0.437 AY:0.025 AZ:0.977 | GX:-6.107 GY:19.435 GZ:-1.710 | T:30.13 C
1778009102.525279,I (375320) mpu6050 stream: AX:0.444 AY:0.219 AZ:0.938 | GX:-14.504 GY:-0.229 GZ:-0.885 | T:30.18 C
1778009102.959802,I (376320) mpu6050 stream: AX:0.284 AY:0.159 AZ:1.198 | GX:7.756 GY:1.038 GZ:3.863 | T:30.04 C
1778009103.959845,I (377320) mpu6050 stream: AX:0.228 AY:0.547 AZ:0.954 | GX:1.603 GY:5.985 GZ:-1.267 | T:30.18 C
1778009104.960253,I (378320) mpu6050 stream: AX:0.282 AY:0.484 AZ:1.083 | GX:-32.733 GY:-5.344 GZ:4.947 | T:30.08 C
1778009105.960202,I (379320) mpu6050 stream: AX:0.430 AY:0.150 AZ:0.916 | GX:-9.511 GY:19.359 GZ:10.718 | T:29.94 C
