# timestamp_sec,line
1778010861.739383,I (4320) mpu6050 stream: AX:1.037 AY:-0.087 AZ:-0.044 | GX:-3.634 GY:1.466 GZ:-0.321 | T:25.61 C
1778010861.741034,I (5320) mpu6050 stream: AX:1.030 AY:-0.069 AZ:-0.063 | GX:-4.107 GY:1.878 GZ:0.137 | T:25.52 C
1778010861.742227,I (6320) mpu6050 stream: AX:1.029 AY:-0.079 AZ:-0.062 | GX:-4.397 GY:1.649 GZ:-0.214 | T:25.52 C
1778010861.743331,I (7320) mpu6050 stream: AX:1.034 AY:-0.079 AZ:-0.064 | GX:-3.588 GY:1.863 GZ:-0.015 | T:25.52 C
1778010861.744457,I (8320) mpu6050 stream: AX:1.040 AY:-0.077 AZ:-0.058 | GX:-4.198 GY:2.305 GZ:0.229 | T:25.47 C
1778010861.745603,I (9320) mpu6050 stream: AX:1.036 AY:-0.077 AZ:-0.050 | GX:-3.695 GY:1.298 GZ:0.015 | T:25.52 C
1778010861.746865,I (10320) mpu6050 stream: AX:1.034 AY:-0.072 AZ:-0.052 | GX:-3.374 GY:1.603 GZ:-0.031 | T:25.52 C
1778010861.748031,I (11320) mpu6050 stream: AX:1.028 AY:-0.081 AZ:-0.056 | GX:-3.466 GY:0.198 GZ:0.076 | T:25.42 C
1778010861.749153,I (12320) mpu6050 stream: AX:1.033 AY:-0.077 AZ:-0.060 | GX:-2.321 GY:0.763 GZ:-0.107 | T:25.42 C
1778010861.750366,I (13320) mpu6050 stream: AX:1.023 AY:-0.070 AZ:-0.074 | GX:-4.366 GY:2.290 GZ:0.061 | T:25.38 C
1778010861.751604,I (14320) mpu6050 stream: AX:1.032 AY:-0.082 AZ:-0.065 | GX:-4.794 GY:1.710 GZ:0.504 | T:25.38 C
1778010861.752804,I (15320) mpu6050 stream: AX:1.033 AY:-0.070 AZ:-0.059 | GX:-3.359 GY:1.115 GZ:0.366 | T:25.33 C
1778010861.753840,I (16320) mpu6050 stream: AX:1.027 AY:-0.077 AZ:-0.069 | GX:-3.908 GY:1.771 GZ:-0.534 | T:25.33 C
1778010861.754840,I (17320) mpu6050 stream: AX:1.036 AY:-0.077 AZ:-0.052 | GX:-3.863 GY:1.695 GZ:0.122 | T:25.38 C
1778010861.755854,I (18320) mpu6050 stream: AX:1.003 AY:0.039 AZ:-0.470 | GX:1.802 GY:-24.305 GZ:-29.756 | T:25.33 C
1778010861.756943,I (19320) mpu6050 stream: AX:1.009 AY:-0.160 AZ:-0.465 | GX:-211.130 GY:-6.916 GZ:80.412 | T:25.42 C
1778010861.757950,I (20320) mpu6050 stream: AX:0.970 AY:-0.121 AZ:0.267 | GX:-59.786 GY:88.336 GZ:-10.076 | T:25.52 C
1778010861.758954,I (21320) mpu6050 stream: AX:0.504 AY:-0.042 AZ:0.921 | GX:8.000 GY:-14.718 GZ:-23.221 | T:25.61 C
1778010861.759963,I (22320) mpu6050 stream: AX:0.452 AY:0.080 AZ:0.889 | GX:16.153 GY:-122.107 GZ:-12.779 | T:25.75 C
1778010861.760974,I (23320) mpu6050 stream: AX:-0.134 AY:0.172 AZ:1.139 | GX:25.176 GY:5.924 GZ:-42.427 | T:25.80 C
1778010861.761974,I (24320) mpu6050 stream: AX:0.689 AY:0.355 AZ:0.836 | GX:-12.519 GY:27.084 GZ:28.336 | T:25.89 C
1778010861.763397,I (25320) mpu6050 stream: AX:0.069 AY:0.025 AZ:1.040 | GX:9.176 GY:-27.313 GZ:-9.756 | T:25.89 C
1778010861.764624,I (26320) mpu6050 stream: AX:0.361 AY:0.058 AZ:0.936 | GX:-32.565 GY:54.870 GZ:-1.450 | T:25.94 C
1778010861.765510,I (27320) mpu6050 stream: AX:0.058 AY:0.196 AZ:1.064 | GX:-2.916 GY:-24.382 GZ:-3.878 | T:25.94 C
1778010861.766245,I (28320) mpu6050 stream: AX:0.101 AY:0.011 AZ:1.067 | GX:5.511 GY:-39.893 GZ:0.962 | T:25.94 C
1778010861.766832,I (29320) mpu6050 stream: AX:0.225 AY:0.099 AZ:1.057 | GX:-8.687 GY:0.351 GZ:-2.550 | T:26.08 C
1778010862.361086,I (30320) mpu6050 stream: AX:0.189 AY:0.146 AZ:0.973 | GX:-3.298 GY:-2.580 GZ:-19.649 | T:26.04 C
1778010863.360048,I (31320) mpu6050 stream: AX:0.179 AY:0.211 AZ:1.051 | GX:-6.611 GY:5.221 GZ:2.855 | T:25.99 C
1778010864.360529,I (32320) mpu6050 stream: AX:0.233 AY:0.187 AZ:1.010 | GX:-6.198 GY:-1.115 GZ:1.374 | T:26.08 C
1778010865.360354,I (33320) mpu6050 stream: AX:0.345 AY:0.123 AZ:0.987 | GX:-8.351 GY:18.015 GZ:2.519 | T:26.18 C
