# timestamp_sec,line
1778010990.542667,I (152320) mpu6050 stream: AX:0.374 AY:0.105 AZ:1.032 | GX:-3.924 GY:0.962 GZ:0.183 | T:29.89 C
1778010990.545050,I (153320) mpu6050 stream: AX:0.364 AY:0.097 AZ:1.037 | GX:-6.382 GY:2.611 GZ:-1.786 | T:29.80 C
1778010990.548459,I (154320) mpu6050 stream: AX:0.325 AY:0.069 AZ:1.016 | GX:-4.305 GY:3.588 GZ:4.153 | T:29.94 C
1778010990.554614,I (155320) mpu6050 stream: AX:0.414 AY:-0.013 AZ:0.954 | GX:-9.176 GY:-2.031 GZ:-12.443 | T:29.99 C
1778010990.557466,I (156320) mpu6050 stream: AX:0.385 AY:-0.058 AZ:0.913 | GX:-6.779 GY:-7.466 GZ:10.076 | T:29.85 C
1778010990.559672,I (157320) mpu6050 stream: AX:0.367 AY:0.121 AZ:1.014 | GX:1.344 GY:6.809 GZ:1.557 | T:29.94 C
1778010990.561880,I (158320) mpu6050 stream: AX:0.367 AY:0.051 AZ:0.946 | GX:-10.718 GY:-4.687 GZ:0.550 | T:29.89 C
1778010991.359240,I (159320) mpu6050 stream: AX:0.419 AY:0.113 AZ:1.014 | GX:3.832 GY:2.168 GZ:2.550 | T:29.94 C
1778010992.359648,I (160320) mpu6050 stream: AX:0.353 AY:0.119 AZ:1.000 | GX:-6.885 GY:0.366 GZ:-2.672 | T:29.94 C
1778010993.360486,I (161320) mpu6050 stream: AX:0.323 AY:0.137 AZ:1.083 | GX:-8.779 GY:1.435 GZ:4.092 | T:29.94 C
1778010994.359370,I (162320) mpu6050 stream: AX:0.396 AY:0.133 AZ:1.003 | GX:-4.687 GY:5.237 GZ:0.153 | T:29.94 C
