# timestamp_sec,line
1778009147.162908,I (407320) mpu6050 stream: AX:0.343 AY:0.075 AZ:0.898 | GX:10.153 GY:7.008 GZ:20.931 | T:29.89 C
1778009147.164469,I (408320) mpu6050 stream: AX:0.233 AY:-0.033 AZ:1.161 | GX:-5.008 GY:-0.733 GZ:-5.664 | T:29.94 C
1778009147.165627,I (409320) mpu6050 stream: AX:0.505 AY:0.106 AZ:0.767 | GX:-31.557 GY:-8.260 GZ:2.107 | T:29.89 C
1778009147.166639,I (410320) mpu6050 stream: AX:0.275 AY:0.014 AZ:0.962 | GX:-1.481 GY:-20.351 GZ:-20.656 | T:29.85 C
1778009147.167636,I (411320) mpu6050 stream: AX:-0.140 AY:-0.121 AZ:1.066 | GX:-4.183 GY:22.733 GZ:1.847 | T:29.89 C
1778009147.168772,I (412320) mpu6050 stream: AX:0.422 AY:0.014 AZ:1.078 | GX:-24.733 GY:-65.450 GZ:37.908 | T:29.85 C
1778009147.169770,I (413320) mpu6050 stream: AX:0.614 AY:0.050 AZ:0.905 | GX:16.000 GY:-34.565 GZ:-6.794 | T:29.89 C
1778009147.170792,I (414320) mpu6050 stream: AX:-0.093 AY:-0.063 AZ:1.032 | GX:7.466 GY:-73.359 GZ:-11.038 | T:29.85 C
1778009147.171780,I (415320) mpu6050 stream: AX:0.077 AY:0.009 AZ:1.096 | GX:25.511 GY:-18.595 GZ:2.473 | T:29.80 C
1778009147.172798,I (416320) mpu6050 stream: AX:-0.025 AY:0.063 AZ:1.068 | GX:-6.855 GY:-19.099 GZ:-10.092 | T:29.89 C
1778009147.173818,I (417320) mpu6050 stream: AX:0.568 AY:-0.092 AZ:0.861 | GX:-10.641 GY:-2.840 GZ:-50.534 | T:29.85 C
1778009147.174808,I (418320) mpu6050 stream: AX:0.261 AY:0.130 AZ:1.025 | GX:-15.756 GY:-5.756 GZ:7.099 | T:29.85 C
1778009147.175792,I (419320) mpu6050 stream: AX:0.371 AY:0.013 AZ:0.964 | GX:-5.832 GY:-7.908 GZ:-3.389 | T:29.80 C
1778009147.176840,I (420320) mpu6050 stream: AX:0.423 AY:-0.067 AZ:0.966 | GX:-12.183 GY:15.053 GZ:4.641 | T:29.80 C
1778009147.959987,I (421320) mpu6050 stream: AX:0.160 AY:0.128 AZ:1.101 | GX:-0.550 GY:4.885 GZ:38.824 | T:29.94 C
1778009148.960776,I (422320) mpu6050 stream: AX:0.263 AY:0.076 AZ:1.046 | GX:-3.969 GY:0.458 GZ:-7.496 | T:29.71 C
1778009149.960979,I (423320) mpu6050 stream: AX:0.270 AY:0.054 AZ:1.020 | GX:-15.221 GY:-5.145 GZ:-34.824 | T:29.85 C
1778009150.961808,I (424320) mpu6050 stream: AX:0.385 AY:0.026 AZ:1.008 | GX:-15.344 GY:0.763 GZ:-22.275 | T:29.80 C
