# timestamp_sec,line
1778009196.179033,I (453320) mpu6050 stream: AX:0.387 AY:0.068 AZ:1.012 | GX:-28.519 GY:-4.183 GZ:-42.015 | T:30.08 C
1778009196.180088,I (454320) mpu6050 stream: AX:0.094 AY:0.074 AZ:1.083 | GX:-18.550 GY:101.893 GZ:-12.031 | T:30.08 C
1778009196.181099,I (455320) mpu6050 stream: AX:0.554 AY:-0.029 AZ:0.890 | GX:11.679 GY:-48.168 GZ:13.786 | T:30.22 C
1778009196.182063,I (456320) mpu6050 stream: AX:0.547 AY:0.009 AZ:0.889 | GX:7.740 GY:28.687 GZ:4.000 | T:30.32 C
1778009196.183395,I (457320) mpu6050 stream: AX:0.085 AY:-0.090 AZ:1.064 | GX:-5.908 GY:-12.305 GZ:1.634 | T:30.22 C
1778009196.183992,I (458320) mpu6050 stream: AX:0.200 AY:-0.130 AZ:1.036 | GX:2.718 GY:-3.374 GZ:-2.519 | T:30.18 C
1778009196.184695,I (459320) mpu6050 stream: AX:0.236 AY:-0.051 AZ:1.054 | GX:-2.244 GY:-0.595 GZ:0.870 | T:30.32 C
1778009196.185567,I (460320) mpu6050 stream: AX:0.286 AY:-0.061 AZ:1.036 | GX:-4.947 GY:1.618 GZ:-1.115 | T:30.22 C
1778009196.186213,I (461320) mpu6050 stream: AX:0.262 AY:-0.063 AZ:1.022 | GX:-3.679 GY:2.656 GZ:0.382 | T:30.32 C
1778009196.186780,I (462320) mpu6050 stream: AX:0.269 AY:-0.079 AZ:1.039 | GX:-5.588 GY:0.489 GZ:0.702 | T:30.27 C
1778009196.187330,I (463320) mpu6050 stream: AX:0.314 AY:-0.068 AZ:1.023 | GX:-5.450 GY:1.008 GZ:0.061 | T:30.37 C
1778009196.187910,I (464320) mpu6050 stream: AX:0.281 AY:-0.084 AZ:1.036 | GX:-4.489 GY:1.527 GZ:1.008 | T:30.32 C
1778009196.188530,I (465320) mpu6050 stream: AX:0.287 AY:-0.091 AZ:1.026 | GX:-4.305 GY:2.092 GZ:-0.870 | T:30.41 C
1778009196.189158,I (466320) mpu6050 stream: AX:0.319 AY:-0.080 AZ:1.036 | GX:-2.672 GY:1.771 GZ:0.061 | T:30.32 C
1778009196.189748,I (467320) mpu6050 stream: AX:0.323 AY:-0.094 AZ:1.015 | GX:-3.954 GY:1.969 GZ:-0.473 | T:30.41 C
1778009196.190299,I (468320) mpu6050 stream: AX:0.333 AY:-0.103 AZ:1.041 | GX:-5.527 GY:12.214 GZ:0.122 | T:30.32 C
1778009196.190858,I (469320) mpu6050 stream: AX:0.431 AY:-0.222 AZ:0.938 | GX:-5.588 GY:-9.328 GZ:14.366 | T:30.41 C
1778009196.959622,I (470320) mpu6050 stream: AX:0.310 AY:-0.215 AZ:1.002 | GX:-0.031 GY:-1.786 GZ:17.725 | T:30.41 C
1778009197.959507,I (471320) mpu6050 stream: AX:0.285 AY:-0.114 AZ:1.048 | GX:4.687 GY:0.107 GZ:19.527 | T:30.46 C
1778009198.960815,I (472320) mpu6050 stream: AX:0.329 AY:-0.095 AZ:1.121 | GX:-0.214 GY:-5.664 GZ:20.275 | T:30.37 C
1778009199.960813,I (473320) mpu6050 stream: AX:0.317 AY:-0.176 AZ:1.017 | GX:-16.336 GY:2.443 GZ:-17.710 | T:30.41 C
