# timestamp_sec,line
1778011599.989333,I (349320) mpu6050 stream: AX:0.076 AY:1.021 AZ:0.109 | GX:-39.267 GY:10.382 GZ:26.916 | T:29.52 C
1778011599.991646,I (350320) mpu6050 stream: AX:0.358 AY:-0.090 AZ:0.992 | GX:7.863 GY:-12.733 GZ:-13.634 | T:29.47 C
1778011599.994455,I (351320) mpu6050 stream: AX:0.534 AY:-0.053 AZ:0.859 | GX:-9.786 GY:-3.145 GZ:-12.870 | T:29.57 C
1778011599.996780,I (352320) mpu6050 stream: AX:0.514 AY:-0.108 AZ:0.948 | GX:-13.496 GY:5.115 GZ:17.740 | T:29.47 C
1778011600.001693,I (353320) mpu6050 stream: AX:0.319 AY:-0.130 AZ:1.029 | GX:0.198 GY:6.290 GZ:7.664 | T:29.57 C
1778011600.004089,I (354320) mpu6050 stream: AX:0.355 AY:-0.105 AZ:1.012 | GX:-7.344 GY:9.954 GZ:-10.015 | T:29.52 C
1778011600.006282,I (355320) mpu6050 stream: AX:0.291 AY:-0.204 AZ:1.008 | GX:-9.069 GY:-4.519 GZ:2.763 | T:29.52 C
1778011600.008328,I (356320) mpu6050 stream: AX:0.355 AY:-0.140 AZ:0.999 | GX:-5.634 GY:0.519 GZ:1.817 | T:29.47 C
1778011600.483978,I (357320) mpu6050 stream: AX:0.055 AY:-1.149 AZ:0.566 | GX:-85.695 GY:33.542 GZ:21.786 | T:29.57 C
1778011601.482756,I (358320) mpu6050 stream: AX:0.015 AY:-1.018 AZ:0.084 | GX:-3.542 GY:6.977 GZ:-0.214 | T:29.57 C
1778011602.483943,I (359320) mpu6050 stream: AX:0.062 AY:-1.026 AZ:0.103 | GX:-3.374 GY:3.924 GZ:2.031 | T:29.52 C
1778011603.483269,I (360320) mpu6050 stream: AX:0.047 AY:-1.030 AZ:0.112 | GX:-2.076 GY:2.992 GZ:1.466 | T:29.57 C
