# timestamp_sec,line
1778011828.911567,I (472320) mpu6050 stream: AX:-0.154 AY:-0.968 AZ:0.033 | GX:-4.885 GY:4.015 GZ:-5.374 | T:29.85 C
1778011828.914041,I (473320) mpu6050 stream: AX:-0.023 AY:-1.093 AZ:0.517 | GX:73.802 GY:-4.198 GZ:-26.824 | T:29.85 C
1778011828.916239,I (474320) mpu6050 stream: AX:0.180 AY:-0.083 AZ:1.138 | GX:2.122 GY:8.351 GZ:-4.565 | T:29.80 C
1778011828.918425,I (475320) mpu6050 stream: AX:0.476 AY:-0.136 AZ:1.049 | GX:19.435 GY:-7.145 GZ:-8.962 | T:29.85 C
1778011828.920663,I (476320) mpu6050 stream: AX:0.684 AY:-0.126 AZ:0.916 | GX:-4.748 GY:-13.588 GZ:-2.672 | T:29.71 C
1778011828.924722,I (477320) mpu6050 stream: AX:0.772 AY:-0.049 AZ:0.801 | GX:-27.634 GY:1.405 GZ:-13.756 | T:29.85 C
1778011828.933704,I (478320) mpu6050 stream: AX:0.787 AY:0.104 AZ:0.705 | GX:-7.664 GY:5.954 GZ:-2.794 | T:29.85 C
1778011828.936540,I (479320) mpu6050 stream: AX:0.828 AY:0.038 AZ:0.672 | GX:-7.557 GY:2.519 GZ:1.435 | T:29.85 C
1778011828.938707,I (480320) mpu6050 stream: AX:0.794 AY:0.035 AZ:0.703 | GX:-2.076 GY:1.710 GZ:1.847 | T:29.85 C
1778011828.940872,I (481320) mpu6050 stream: AX:0.778 AY:0.001 AZ:0.705 | GX:-6.397 GY:2.473 GZ:2.672 | T:29.89 C
1778011828.949228,I (482320) mpu6050 stream: AX:0.794 AY:0.000 AZ:0.697 | GX:-3.527 GY:1.542 GZ:1.298 | T:29.99 C
1778011828.951567,I (483320) mpu6050 stream: AX:0.782 AY:-0.004 AZ:0.746 | GX:-4.412 GY:1.298 GZ:1.969 | T:29.89 C
1778011828.953767,I (484320) mpu6050 stream: AX:0.774 AY:-0.308 AZ:0.725 | GX:-19.969 GY:0.824 GZ:5.191 | T:29.99 C
1778011828.955930,I (485320) mpu6050 stream: AX:0.819 AY:-0.276 AZ:0.653 | GX:-6.733 GY:-1.298 GZ:2.366 | T:29.99 C
1778011828.957920,I (486320) mpu6050 stream: AX:0.805 AY:-0.264 AZ:0.635 | GX:-5.649 GY:0.870 GZ:0.504 | T:30.08 C
1778011828.961404,I (487320) mpu6050 stream: AX:0.813 AY:-0.277 AZ:0.633 | GX:-2.305 GY:-0.229 GZ:-1.176 | T:30.08 C
1778011828.963594,I (488320) mpu6050 stream: AX:0.792 AY:-0.283 AZ:0.652 | GX:-3.878 GY:2.198 GZ:0.824 | T:30.08 C
1778011828.965669,I (489320) mpu6050 stream: AX:0.811 AY:-0.282 AZ:0.628 | GX:-5.511 GY:2.534 GZ:-0.244 | T:30.04 C
1778011828.967678,I (490320) mpu6050 stream: AX:0.822 AY:-0.289 AZ:0.620 | GX:-3.710 GY:1.756 GZ:0.519 | T:30.04 C
1778011828.969704,I (491320) mpu6050 stream: AX:0.809 AY:-0.294 AZ:0.637 | GX:-3.924 GY:1.069 GZ:-0.702 | T:30.18 C
1778011828.971742,I (492320) mpu6050 stream: AX:0.817 AY:-0.300 AZ:0.617 | GX:-3.603 GY:2.137 GZ:-0.061 | T:30.08 C
1778011828.973681,I (493320) mpu6050 stream: AX:0.809 AY:-0.307 AZ:0.619 | GX:-4.122 GY:1.847 GZ:0.366 | T:30.13 C
1778011828.975599,I (494320) mpu6050 stream: AX:0.811 AY:-0.304 AZ:0.626 | GX:-4.076 GY:1.420 GZ:-0.107 | T:30.08 C
1778011828.978646,I (495320) mpu6050 stream: AX:0.820 AY:-0.290 AZ:0.611 | GX:-3.634 GY:1.786 GZ:0.397 | T:30.04 C
1778011828.980700,I (496320) mpu6050 stream: AX:0.833 AY:-0.311 AZ:0.609 | GX:-4.000 GY:1.389 GZ:-0.153 | T:30.08 C
1778011828.982700,I (497320) mpu6050 stream: AX:0.816 AY:-0.302 AZ:0.611 | GX:-4.137 GY:1.557 GZ:-0.275 | T:30.22 C
1778011828.984544,I (498320) mpu6050 stream: AX:0.825 AY:-0.301 AZ:0.609 | GX:-3.679 GY:0.656 GZ:0.015 | T:30.18 C
1778011828.987782,I (499320) mpu6050 stream: AX:0.824 AY:-0.307 AZ:0.599 | GX:-4.427 GY:0.779 GZ:0.351 | T:30.18 C
1778011828.990623,I (500320) mpu6050 stream: AX:0.819 AY:-0.307 AZ:0.598 | GX:-3.863 GY:1.115 GZ:0.473 | T:30.13 C
1778011828.992621,I (501320) mpu6050 stream: AX:0.825 AY:-0.318 AZ:0.603 | GX:-2.855 GY:2.061 GZ:0.260 | T:30.22 C
1778011828.994584,I (502320) mpu6050 stream: AX:0.823 AY:-0.305 AZ:0.598 | GX:-4.565 GY:2.733 GZ:0.305 | T:30.27 C
1778011828.996430,I (503320) mpu6050 stream: AX:0.819 AY:-0.311 AZ:0.586 | GX:-3.634 GY:1.573 GZ:0.015 | T:30.22 C
1778011828.998274,I (504320) mpu6050 stream: AX:0.837 AY:-0.312 AZ:0.593 | GX:-4.031 GY:1.481 GZ:-0.595 | T:30.27 C
1778011829.000066,I (505320) mpu6050 stream: AX:0.826 AY:-0.309 AZ:0.582 | GX:-4.000 GY:1.237 GZ:0.000 | T:30.22 C
1778011829.001870,I (506320) mpu6050 stream: AX:0.840 AY:-0.305 AZ:0.587 | GX:-5.573 GY:1.053 GZ:-0.809 | T:30.32 C
1778011829.003624,I (507320) mpu6050 stream: AX:0.844 AY:-0.309 AZ:0.579 | GX:-3.924 GY:1.863 GZ:-0.092 | T:30.22 C
1778011829.005322,I (508320) mpu6050 stream: AX:0.831 AY:-0.307 AZ:0.582 | GX:-3.374 GY:1.771 GZ:1.328 | T:30.41 C
1778011829.007052,I (509320) mpu6050 stream: AX:0.846 AY:-0.240 AZ:0.499 | GX:-8.748 GY:-2.076 GZ:-0.885 | T:30.27 C
1778011829.008765,I (510320) mpu6050 stream: AX:0.743 AY:-0.486 AZ:0.856 | GX:-8.580 GY:82.305 GZ:6.107 | T:30.37 C
1778011829.010477,I (511320) mpu6050 stream: AX:0.388 AY:-0.198 AZ:1.063 | GX:-3.145 GY:18.885 GZ:-21.893 | T:30.22 C
1778011829.013880,I (512320) mpu6050 stream: AX:0.458 AY:-0.201 AZ:0.982 | GX:-0.947 GY:-9.374 GZ:6.809 | T:30.32 C
1778011829.015887,I (513320) mpu6050 stream: AX:0.363 AY:-0.208 AZ:0.923 | GX:-2.824 GY:7.542 GZ:0.244 | T:30.37 C
1778011829.017718,I (514320) mpu6050 stream: AX:0.338 AY:-0.178 AZ:0.976 | GX:-4.550 GY:-2.489 GZ:12.382 | T:30.37 C
1778011829.019458,I (515320) mpu6050 stream: AX:0.304 AY:-0.147 AZ:0.933 | GX:-2.336 GY:-6.809 GZ:7.405 | T:30.32 C
1778011829.021378,I (516320) mpu6050 stream: AX:0.545 AY:-0.126 AZ:0.862 | GX:-5.695 GY:6.855 GZ:-3.908 | T:30.32 C
1778011829.023041,I (517320) mpu6050 stream: AX:0.652 AY:-0.250 AZ:0.843 | GX:-7.863 GY:3.527 GZ:-5.176 | T:30.37 C
1778011829.024711,I (518320) mpu6050 stream: AX:0.661 AY:-0.182 AZ:0.783 | GX:-14.305 GY:-4.626 GZ:2.153 | T:30.46 C
1778011829.026603,I (519320) mpu6050 stream: AX:0.800 AY:-0.227 AZ:0.751 | GX:-8.260 GY:-6.198 GZ:-11.176 | T:30.41 C
1778011829.057916,I (520320) mpu6050 stream: AX:0.767 AY:-0.161 AZ:0.693 | GX:-2.962 GY:3.344 GZ:-2.000 | T:30.46 C
1778011829.061395,I (521320) mpu6050 stream: AX:0.836 AY:-0.158 AZ:0.678 | GX:-6.229 GY:-1.649 GZ:-3.481 | T:30.37 C
1778011829.063128,I (522320) mpu6050 stream: AX:0.805 AY:-0.155 AZ:0.684 | GX:-5.618 GY:0.870 GZ:0.183 | T:30.46 C
1778011829.064854,I (523320) mpu6050 stream: AX:0.823 AY:-0.153 AZ:0.613 | GX:-2.107 GY:-5.298 GZ:-1.160 | T:30.46 C
1778011829.066731,I (524320) mpu6050 stream: AX:0.885 AY:-0.087 AZ:0.652 | GX:-15.542 GY:26.290 GZ:-6.626 | T:30.55 C
1778011829.068697,I (525320) mpu6050 stream: AX:0.815 AY:-0.115 AZ:0.930 | GX:-12.733 GY:-28.885 GZ:-3.924 | T:30.46 C
1778011829.070709,I (526320) mpu6050 stream: AX:0.323 AY:-0.099 AZ:1.013 | GX:-8.092 GY:4.748 GZ:3.939 | T:30.51 C
