# timestamp_sec,line
1778011460.510344,I (211320) mpu6050 stream: AX:0.220 AY:-0.145 AZ:1.038 | GX:5.618 GY:-5.618 GZ:-4.794 | T:28.15 C
1778011460.512943,I (212320) mpu6050 stream: AX:0.256 AY:0.023 AZ:1.054 | GX:-19.664 GY:29.969 GZ:10.198 | T:28.11 C
1778011460.515042,I (213320) mpu6050 stream: AX:0.160 AY:0.092 AZ:0.920 | GX:4.122 GY:-2.611 GZ:5.115 | T:28.20 C
1778011460.517058,I (214320) mpu6050 stream: AX:0.162 AY:-0.064 AZ:1.007 | GX:-22.641 GY:2.168 GZ:10.214 | T:28.25 C
1778011460.518925,I (215320) mpu6050 stream: AX:0.102 AY:-0.139 AZ:1.097 | GX:13.298 GY:1.191 GZ:9.008 | T:28.25 C
1778011460.520747,I (216320) mpu6050 stream: AX:0.125 AY:-0.059 AZ:1.001 | GX:-10.885 GY:4.947 GZ:-6.458 | T:28.25 C
1778011460.523031,I (217320) mpu6050 stream: AX:0.347 AY:0.294 AZ:0.907 | GX:48.519 GY:2.733 GZ:-2.061 | T:28.39 C
1778011461.484532,I (218320) mpu6050 stream: AX:0.244 AY:0.944 AZ:0.276 | GX:17.969 GY:-1.359 GZ:-4.351 | T:28.25 C
1778011462.483886,I (219320) mpu6050 stream: AX:0.206 AY:0.989 AZ:0.172 | GX:2.260 GY:-1.115 GZ:-0.260 | T:28.25 C
1778011463.484600,I (220320) mpu6050 stream: AX:0.155 AY:0.951 AZ:0.231 | GX:-7.252 GY:0.015 GZ:-0.397 | T:28.29 C
1778011464.483958,I (221320) mpu6050 stream: AX:0.198 AY:0.909 AZ:0.329 | GX:-24.336 GY:4.794 GZ:-0.137 | T:28.29 C
