# timestamp_sec,line
1778009347.971727,I (581320) mpu6050 stream: AX:0.367 AY:-0.035 AZ:0.936 | GX:-29.878 GY:-10.443 GZ:-73.344 | T:30.65 C
1778009347.972862,I (582320) mpu6050 stream: AX:0.366 AY:-0.044 AZ:1.048 | GX:-3.053 GY:-0.321 GZ:2.595 | T:30.60 C
1778009347.973968,I (583320) mpu6050 stream: AX:0.557 AY:-0.108 AZ:0.682 | GX:55.771 GY:46.427 GZ:6.412 | T:30.55 C
1778009347.974992,I (584320) mpu6050 stream: AX:0.227 AY:-0.220 AZ:1.026 | GX:-23.771 GY:-68.702 GZ:-13.756 | T:30.55 C
1778009347.975991,I (585320) mpu6050 stream: AX:0.064 AY:0.325 AZ:1.034 | GX:-3.939 GY:-34.733 GZ:-7.527 | T:30.69 C
1778009347.977139,I (586320) mpu6050 stream: AX:0.239 AY:-0.287 AZ:1.012 | GX:-15.603 GY:6.122 GZ:6.244 | T:30.51 C
1778009347.978540,I (587320) mpu6050 stream: AX:0.214 AY:-0.298 AZ:1.008 | GX:2.794 GY:3.985 GZ:-3.786 | T:30.55 C
1778009347.979757,I (588320) mpu6050 stream: AX:0.220 AY:-0.284 AZ:1.018 | GX:-7.481 GY:0.565 GZ:1.725 | T:30.55 C
1778009347.981740,I (589320) mpu6050 stream: AX:0.239 AY:-0.364 AZ:1.017 | GX:-0.611 GY:4.092 GZ:-1.527 | T:30.46 C
1778009347.982967,I (590320) mpu6050 stream: AX:0.202 AY:-0.224 AZ:1.014 | GX:-5.053 GY:-0.382 GZ:0.550 | T:30.46 C
1778009347.984109,I (591320) mpu6050 stream: AX:0.236 AY:-0.353 AZ:1.000 | GX:-8.809 GY:0.107 GZ:2.504 | T:30.51 C
1778009347.985507,I (592320) mpu6050 stream: AX:0.216 AY:-0.304 AZ:1.016 | GX:2.137 GY:4.244 GZ:-3.176 | T:30.65 C
1778009347.987200,I (593320) mpu6050 stream: AX:0.208 AY:-0.257 AZ:1.012 | GX:-10.565 GY:-1.130 GZ:2.992 | T:30.41 C
1778009347.988398,I (594320) mpu6050 stream: AX:0.235 AY:-0.388 AZ:1.009 | GX:-0.687 GY:3.053 GZ:-0.977 | T:30.46 C
1778009347.989464,I (595320) mpu6050 stream: AX:0.197 AY:-0.233 AZ:1.006 | GX:-2.656 GY:1.756 GZ:-1.176 | T:30.46 C
1778009347.990503,I (596320) mpu6050 stream: AX:0.247 AY:-0.360 AZ:1.009 | GX:-10.351 GY:-0.366 GZ:2.931 | T:30.46 C
