# timestamp_sec,line
1778008892.581173,I (149320) mpu6050 stream: AX:0.167 AY:0.168 AZ:1.063 | GX:-2.198 GY:0.504 GZ:1.084 | T:30.88 C
1778008892.581798,I (150320) mpu6050 stream: AX:0.281 AY:0.188 AZ:1.021 | GX:-1.221 GY:1.191 GZ:-4.565 | T:30.88 C
1778008892.582375,I (151320) mpu6050 stream: AX:0.190 AY:0.224 AZ:1.025 | GX:7.023 GY:0.794 GZ:-5.985 | T:30.98 C
1778008892.582953,I (152320) mpu6050 stream: AX:0.212 AY:0.266 AZ:1.032 | GX:-6.031 GY:0.733 GZ:0.168 | T:30.88 C
1778008892.583768,I (153320) mpu6050 stream: AX:0.203 AY:0.250 AZ:1.010 | GX:-5.374 GY:0.656 GZ:0.397 | T:30.93 C
1778008892.584528,I (154320) mpu6050 stream: AX:0.226 AY:0.242 AZ:1.001 | GX:-2.916 GY:2.977 GZ:-1.130 | T:30.93 C
1778008892.585125,I (155320) mpu6050 stream: AX:0.220 AY:0.243 AZ:1.012 | GX:-4.550 GY:2.473 GZ:-1.756 | T:31.02 C
1778008892.585696,I (156320) mpu6050 stream: AX:0.203 AY:0.224 AZ:1.008 | GX:-3.893 GY:1.649 GZ:-0.076 | T:30.93 C
1778008892.586305,I (157320) mpu6050 stream: AX:0.231 AY:0.233 AZ:1.022 | GX:-3.282 GY:0.809 GZ:-0.244 | T:30.98 C
1778008892.586877,I (158320) mpu6050 stream: AX:0.224 AY:0.224 AZ:1.014 | GX:-4.885 GY:0.595 GZ:-0.870 | T:30.98 C
1778008892.587438,I (159320) mpu6050 stream: AX:0.246 AY:0.225 AZ:1.011 | GX:-3.954 GY:2.443 GZ:0.626 | T:31.07 C
1778008892.587985,I (160320) mpu6050 stream: AX:0.253 AY:0.223 AZ:1.011 | GX:-3.557 GY:1.420 GZ:0.931 | T:30.93 C
1778008892.588544,I (161320) mpu6050 stream: AX:0.240 AY:0.213 AZ:1.024 | GX:-3.878 GY:1.084 GZ:-0.901 | T:31.07 C
1778008892.589102,I (162320) mpu6050 stream: AX:0.195 AY:0.244 AZ:1.058 | GX:-5.878 GY:5.038 GZ:-0.718 | T:31.02 C
1778008892.589657,I (163320) mpu6050 stream: AX:0.228 AY:0.238 AZ:1.022 | GX:-6.595 GY:0.260 GZ:-2.718 | T:30.98 C
1778008892.590213,I (164320) mpu6050 stream: AX:0.211 AY:0.211 AZ:1.012 | GX:-8.076 GY:1.237 GZ:-0.809 | T:30.93 C
1778008892.590768,I (165320) mpu6050 stream: AX:0.196 AY:0.091 AZ:1.041 | GX:-5.954 GY:1.649 GZ:2.336 | T:30.98 C
1778008892.962970,I (166320) mpu6050 stream: AX:0.258 AY:0.030 AZ:1.043 | GX:4.275 GY:-32.229 GZ:-0.153 | T:30.93 C
1778008893.963072,I (167320) mpu6050 stream: AX:0.279 AY:0.105 AZ:1.064 | GX:-0.305 GY:-19.710 GZ:12.412 | T:30.98 C
1778008894.961932,I (168320) mpu6050 stream: AX:0.291 AY:0.098 AZ:1.012 | GX:-6.916 GY:6.260 GZ:-3.237 | T:30.98 C
1778008895.961828,I (169320) mpu6050 stream: AX:0.312 AY:0.125 AZ:1.044 | GX:-6.962 GY:0.534 GZ:1.542 | T:30.88 C
