# timestamp_sec,line
1778011622.458104,I (361320) mpu6050 stream: AX:0.083 AY:-0.625 AZ:0.606 | GX:147.450 GY:3.115 GZ:-22.305 | T:29.57 C
1778011622.460410,I (362320) mpu6050 stream: AX:0.236 AY:0.093 AZ:0.963 | GX:-12.168 GY:-4.534 GZ:-2.214 | T:29.47 C
1778011622.462596,I (363320) mpu6050 stream: AX:0.307 AY:-0.034 AZ:1.007 | GX:-9.969 GY:3.939 GZ:1.573 | T:29.52 C
1778011622.464736,I (364320) mpu6050 stream: AX:0.313 AY:-0.057 AZ:1.014 | GX:-8.412 GY:0.901 GZ:0.672 | T:29.57 C
1778011622.466869,I (365320) mpu6050 stream: AX:0.324 AY:-0.078 AZ:1.041 | GX:-5.389 GY:1.023 GZ:0.855 | T:29.57 C
1778011622.469047,I (366320) mpu6050 stream: AX:0.342 AY:-0.075 AZ:1.039 | GX:-5.649 GY:0.870 GZ:1.267 | T:29.66 C
1778011622.471325,I (367320) mpu6050 stream: AX:0.323 AY:-0.078 AZ:1.023 | GX:-4.229 GY:0.198 GZ:-0.275 | T:29.57 C
1778011622.473478,I (368320) mpu6050 stream: AX:0.329 AY:-0.079 AZ:1.042 | GX:-4.351 GY:0.687 GZ:0.519 | T:29.71 C
1778011622.476672,I (369320) mpu6050 stream: AX:0.328 AY:-0.067 AZ:1.019 | GX:-4.611 GY:1.725 GZ:-0.153 | T:29.61 C
1778011622.480496,I (370320) mpu6050 stream: AX:0.330 AY:-0.059 AZ:0.999 | GX:-2.046 GY:1.679 GZ:-0.565 | T:29.75 C
1778011622.487769,I (371320) mpu6050 stream: AX:0.343 AY:-0.058 AZ:1.010 | GX:-3.389 GY:0.443 GZ:0.015 | T:29.66 C
1778011622.490266,I (372320) mpu6050 stream: AX:0.336 AY:-0.063 AZ:1.017 | GX:-2.305 GY:1.405 GZ:-0.733 | T:29.75 C
1778011622.493457,I (373320) mpu6050 stream: AX:0.356 AY:-0.065 AZ:1.022 | GX:-2.366 GY:0.763 GZ:0.702 | T:29.80 C
1778011622.499064,I (374320) mpu6050 stream: AX:0.362 AY:-0.058 AZ:1.029 | GX:-3.252 GY:1.527 GZ:-1.191 | T:29.80 C
1778011622.501076,I (375320) mpu6050 stream: AX:0.324 AY:-0.038 AZ:1.014 | GX:-4.962 GY:2.275 GZ:1.191 | T:29.71 C
1778011622.502768,I (376320) mpu6050 stream: AX:0.297 AY:-0.030 AZ:1.050 | GX:-5.832 GY:2.718 GZ:0.901 | T:29.85 C
1778011622.504404,I (377320) mpu6050 stream: AX:0.375 AY:-0.009 AZ:0.999 | GX:-2.015 GY:3.008 GZ:2.855 | T:29.89 C
1778011622.506157,I (378320) mpu6050 stream: AX:0.290 AY:0.028 AZ:0.999 | GX:2.427 GY:-20.962 GZ:-10.092 | T:29.85 C
1778011622.508073,I (379320) mpu6050 stream: AX:0.311 AY:-0.216 AZ:0.980 | GX:-38.534 GY:5.817 GZ:8.427 | T:29.85 C
1778011623.483778,I (380320) mpu6050 stream: AX:0.029 AY:-0.998 AZ:-0.025 | GX:13.374 GY:0.275 GZ:-1.450 | T:29.85 C
1778011624.482986,I (381320) mpu6050 stream: AX:0.036 AY:-1.044 AZ:0.064 | GX:-4.412 GY:2.733 GZ:4.366 | T:29.89 C
1778011625.483048,I (382320) mpu6050 stream: AX:0.033 AY:-1.020 AZ:0.108 | GX:-4.244 GY:2.580 GZ:2.870 | T:29.89 C
