# timestamp_sec,line
1778011698.148057,I (444320) mpu6050 stream: AX:-0.088 AY:-0.948 AZ:0.532 | GX:35.298 GY:-16.702 GZ:-9.893 | T:29.57 C
1778011698.151446,I (445320) mpu6050 stream: AX:0.179 AY:-0.228 AZ:1.109 | GX:-10.000 GY:0.885 GZ:0.611 | T:29.52 C
1778011698.154972,I (446320) mpu6050 stream: AX:0.227 AY:-0.234 AZ:0.976 | GX:1.847 GY:-3.282 GZ:1.954 | T:29.71 C
1778011698.165736,I (447320) mpu6050 stream: AX:0.241 AY:-0.268 AZ:0.988 | GX:-1.344 GY:1.527 GZ:-1.084 | T:29.57 C
1778011698.168401,I (448320) mpu6050 stream: AX:0.235 AY:-0.251 AZ:1.016 | GX:-6.992 GY:3.893 GZ:1.939 | T:29.75 C
1778011698.170817,I (449320) mpu6050 stream: AX:0.238 AY:-0.258 AZ:1.019 | GX:-2.122 GY:1.221 GZ:-1.038 | T:29.71 C
1778011698.174069,I (450320) mpu6050 stream: AX:0.271 AY:-0.257 AZ:1.000 | GX:-2.504 GY:1.893 GZ:-0.763 | T:29.66 C
1778011698.176495,I (451320) mpu6050 stream: AX:0.262 AY:-0.245 AZ:1.018 | GX:-5.817 GY:-0.595 GZ:-1.053 | T:29.66 C
1778011698.179778,I (452320) mpu6050 stream: AX:0.259 AY:-0.259 AZ:1.008 | GX:-5.832 GY:3.496 GZ:1.252 | T:29.75 C
1778011698.182081,I (453320) mpu6050 stream: AX:0.268 AY:-0.266 AZ:1.025 | GX:-2.687 GY:2.687 GZ:1.359 | T:29.75 C
1778011698.184335,I (454320) mpu6050 stream: AX:0.335 AY:-0.023 AZ:1.009 | GX:-9.435 GY:8.733 GZ:-5.908 | T:29.80 C
1778011698.483968,I (455320) mpu6050 stream: AX:0.248 AY:-0.257 AZ:1.032 | GX:-47.679 GY:16.687 GZ:18.351 | T:29.80 C
1778011699.482413,I (456320) mpu6050 stream: AX:0.100 AY:-1.064 AZ:0.270 | GX:-24.168 GY:-6.626 GZ:3.008 | T:29.75 C
1778011700.483161,I (457320) mpu6050 stream: AX:0.009 AY:-1.034 AZ:0.170 | GX:-6.565 GY:-1.664 GZ:-0.031 | T:29.85 C
1778011701.483224,I (458320) mpu6050 stream: AX:-0.008 AY:-1.017 AZ:0.190 | GX:-5.649 GY:-4.336 GZ:-1.053 | T:29.80 C
