# timestamp_sec,line
1778011849.240488,I (590320) mpu6050 stream: AX:0.167 AY:-0.994 AZ:0.300 | GX:-4.382 GY:2.595 GZ:1.405 | T:30.98 C
1778011849.242997,I (591320) mpu6050 stream: AX:0.305 AY:-1.041 AZ:0.710 | GX:149.771 GY:62.031 GZ:-43.511 | T:30.88 C
1778011849.245351,I (592320) mpu6050 stream: AX:0.230 AY:-0.276 AZ:0.936 | GX:-2.244 GY:-64.855 GZ:-37.328 | T:30.88 C
1778011849.247662,I (593320) mpu6050 stream: AX:0.208 AY:-0.372 AZ:0.940 | GX:-15.649 GY:77.985 GZ:151.985 | T:30.88 C
1778011849.251825,I (594320) mpu6050 stream: AX:0.423 AY:-0.666 AZ:1.003 | GX:17.817 GY:-54.122 GZ:15.420 | T:30.88 C
1778011849.260216,I (595320) mpu6050 stream: AX:0.153 AY:-0.396 AZ:0.990 | GX:14.336 GY:-26.611 GZ:15.008 | T:30.88 C
1778011849.266145,I (596320) mpu6050 stream: AX:0.099 AY:0.453 AZ:0.921 | GX:56.336 GY:11.313 GZ:-0.611 | T:30.93 C
1778011849.268984,I (597320) mpu6050 stream: AX:-0.511 AY:0.394 AZ:0.889 | GX:-105.481 GY:-106.687 GZ:10.458 | T:30.88 C
1778011849.271397,I (598320) mpu6050 stream: AX:0.069 AY:-0.014 AZ:1.098 | GX:10.519 GY:10.687 GZ:8.153 | T:30.88 C
1778011849.273708,I (599320) mpu6050 stream: AX:0.234 AY:-0.106 AZ:1.039 | GX:-3.191 GY:6.015 GZ:11.618 | T:30.88 C
1778011849.277470,I (600320) mpu6050 stream: AX:0.132 AY:0.063 AZ:1.149 | GX:56.962 GY:80.168 GZ:32.076 | T:31.02 C
1778011849.279927,I (601320) mpu6050 stream: AX:0.176 AY:-0.145 AZ:0.933 | GX:-40.931 GY:18.687 GZ:-15.588 | T:30.98 C
1778011849.282165,I (602320) mpu6050 stream: AX:-0.083 AY:-0.033 AZ:0.927 | GX:5.542 GY:0.977 GZ:32.443 | T:31.02 C
1778011849.284529,I (603320) mpu6050 stream: AX:-0.131 AY:-0.084 AZ:1.073 | GX:-15.847 GY:-5.985 GZ:-7.191 | T:30.93 C
1778011849.286624,I (604320) mpu6050 stream: AX:-0.054 AY:-0.052 AZ:0.979 | GX:8.763 GY:34.626 GZ:-0.198 | T:30.98 C
1778011849.288672,I (605320) mpu6050 stream: AX:-0.165 AY:-0.021 AZ:1.046 | GX:-8.321 GY:0.702 GZ:1.664 | T:30.93 C
1778011849.482395,I (606320) mpu6050 stream: AX:-0.105 AY:-0.011 AZ:0.922 | GX:7.924 GY:-12.168 GZ:-2.763 | T:30.93 C
1778011850.481568,I (607320) mpu6050 stream: AX:-0.183 AY:0.660 AZ:0.736 | GX:25.603 GY:31.023 GZ:-4.321 | T:30.93 C
1778011851.482198,I (608320) mpu6050 stream: AX:-0.154 AY:0.723 AZ:0.704 | GX:-11.115 GY:2.595 GZ:2.214 | T:30.93 C
1778011852.481675,I (609320) mpu6050 stream: AX:-0.153 AY:0.716 AZ:0.728 | GX:-2.962 GY:29.725 GZ:4.565 | T:30.84 C
