# timestamp_sec,line
1778009385.463908,I (646320) mpu6050 stream: AX:0.693 AY:0.170 AZ:0.891 | GX:2.992 GY:-0.046 GZ:34.733 | T:31.07 C
1778009385.464893,I (647320) mpu6050 stream: AX:0.134 AY:0.057 AZ:1.106 | GX:4.885 GY:6.519 GZ:27.481 | T:31.07 C
1778009385.465881,I (648320) mpu6050 stream: AX:0.024 AY:0.083 AZ:1.022 | GX:3.252 GY:-8.550 GZ:-9.206 | T:31.54 C
1778009385.467013,I (649320) mpu6050 stream: AX:0.170 AY:0.226 AZ:1.028 | GX:-4.443 GY:-0.641 GZ:2.000 | T:31.40 C
1778009385.468067,I (650320) mpu6050 stream: AX:0.247 AY:0.257 AZ:1.050 | GX:-3.679 GY:1.710 GZ:-0.550 | T:31.35 C
1778009385.469023,I (651320) mpu6050 stream: AX:0.273 AY:0.232 AZ:1.010 | GX:-3.649 GY:0.168 GZ:0.885 | T:31.26 C
1778009385.469988,I (652320) mpu6050 stream: AX:0.259 AY:0.229 AZ:1.021 | GX:-3.420 GY:2.885 GZ:-0.870 | T:31.31 C
1778009385.470971,I (653320) mpu6050 stream: AX:0.283 AY:0.231 AZ:1.004 | GX:-4.153 GY:0.565 GZ:0.443 | T:31.31 C
1778009385.471929,I (654320) mpu6050 stream: AX:0.294 AY:0.230 AZ:1.003 | GX:-4.687 GY:1.084 GZ:0.137 | T:31.35 C
1778009385.472888,I (655320) mpu6050 stream: AX:0.264 AY:0.238 AZ:0.990 | GX:-4.046 GY:3.359 GZ:1.099 | T:31.31 C
1778009385.473847,I (656320) mpu6050 stream: AX:0.301 AY:0.270 AZ:0.981 | GX:-2.687 GY:0.153 GZ:-1.557 | T:31.40 C
1778009385.474817,I (657320) mpu6050 stream: AX:0.334 AY:0.250 AZ:0.986 | GX:-10.092 GY:3.802 GZ:-2.504 | T:31.45 C
1778009385.475771,I (658320) mpu6050 stream: AX:0.357 AY:0.118 AZ:1.014 | GX:-7.099 GY:-0.672 GZ:0.870 | T:31.49 C
1778009385.958762,I (659320) mpu6050 stream: AX:0.290 AY:0.224 AZ:1.036 | GX:-17.664 GY:-4.015 GZ:-43.740 | T:31.54 C
1778009386.958216,I (660320) mpu6050 stream: AX:0.433 AY:0.162 AZ:0.964 | GX:-11.924 GY:-13.893 GZ:-23.344 | T:31.54 C
1778009387.959059,I (661320) mpu6050 stream: AX:0.400 AY:0.126 AZ:0.968 | GX:6.183 GY:9.527 GZ:45.832 | T:31.45 C
1778009388.958475,I (662320) mpu6050 stream: AX:0.293 AY:0.139 AZ:1.013 | GX:4.473 GY:4.794 GZ:8.641 | T:31.40 C
