# timestamp_sec,line
1778009502.274890,I (760320) mpu6050 stream: AX:0.335 AY:0.068 AZ:0.927 | GX:1.969 GY:5.420 GZ:27.237 | T:31.64 C
1778009502.276719,I (761320) mpu6050 stream: AX:0.387 AY:0.134 AZ:0.976 | GX:-4.107 GY:2.458 GZ:-4.687 | T:31.68 C
1778009502.277995,I (762320) mpu6050 stream: AX:0.397 AY:0.136 AZ:0.967 | GX:-3.389 GY:-0.687 GZ:2.489 | T:31.64 C
1778009502.279032,I (763320) mpu6050 stream: AX:0.365 AY:0.114 AZ:0.977 | GX:0.260 GY:-2.260 GZ:7.282 | T:31.64 C
1778009502.280051,I (764320) mpu6050 stream: AX:0.423 AY:0.058 AZ:0.927 | GX:-5.466 GY:-7.389 GZ:13.237 | T:31.73 C
1778009502.281037,I (765320) mpu6050 stream: AX:0.440 AY:0.131 AZ:0.988 | GX:0.809 GY:12.260 GZ:26.718 | T:31.64 C
1778009502.282036,I (766320) mpu6050 stream: AX:0.551 AY:0.307 AZ:0.855 | GX:19.588 GY:-33.405 GZ:0.290 | T:31.64 C
1778009502.283025,I (767320) mpu6050 stream: AX:0.706 AY:0.340 AZ:0.680 | GX:-6.168 GY:-1.069 GZ:2.489 | T:31.64 C
1778009502.284117,I (768320) mpu6050 stream: AX:0.811 AY:0.437 AZ:0.672 | GX:-9.695 GY:8.947 GZ:9.298 | T:31.73 C
1778009502.285103,I (769320) mpu6050 stream: AX:0.621 AY:0.349 AZ:0.770 | GX:-1.725 GY:6.366 GZ:-2.702 | T:31.68 C
1778009502.286098,I (770320) mpu6050 stream: AX:0.675 AY:0.400 AZ:0.783 | GX:-11.969 GY:7.496 GZ:0.626 | T:31.64 C
1778009502.287117,I (771320) mpu6050 stream: AX:0.304 AY:-0.186 AZ:0.853 | GX:-28.550 GY:23.893 GZ:18.137 | T:31.59 C
1778009502.288154,I (772320) mpu6050 stream: AX:0.395 AY:-0.268 AZ:0.957 | GX:50.305 GY:119.985 GZ:-25.603 | T:31.68 C
1778009502.289330,I (773320) mpu6050 stream: AX:0.513 AY:0.040 AZ:0.886 | GX:-31.466 GY:-13.191 GZ:-8.275 | T:31.49 C
1778009502.291535,I (774320) mpu6050 stream: AX:0.453 AY:0.091 AZ:1.086 | GX:8.229 GY:6.015 GZ:2.595 | T:31.64 C
1778009502.294471,I (775320) mpu6050 stream: AX:0.522 AY:0.030 AZ:0.971 | GX:-5.802 GY:-0.412 GZ:-4.183 | T:31.64 C
1778009502.956880,I (776320) mpu6050 stream: AX:0.541 AY:0.037 AZ:0.896 | GX:-26.687 GY:-13.252 GZ:-57.053 | T:31.59 C
1778009503.957085,I (777320) mpu6050 stream: AX:0.479 AY:0.077 AZ:0.890 | GX:-7.053 GY:1.908 GZ:-27.328 | T:31.68 C
1778009504.958195,I (778320) mpu6050 stream: AX:0.524 AY:0.104 AZ:0.931 | GX:-5.954 GY:1.786 GZ:2.687 | T:31.59 C
1778009505.958109,I (779320) mpu6050 stream: AX:0.510 AY:0.132 AZ:0.951 | GX:-5.344 GY:4.412 GZ:-5.023 | T:31.73 C
