# timestamp_sec,line
1778008786.702972,I (51320) mpu6050 stream: AX:0.310 AY:-0.001 AZ:0.821 | GX:-4.748 GY:-2.351 GZ:4.595 | T:30.51 C
1778008786.705302,I (52320) mpu6050 stream: AX:0.564 AY:0.136 AZ:0.908 | GX:-1.603 GY:-2.595 GZ:5.481 | T:30.32 C
1778008786.708679,I (53320) mpu6050 stream: AX:0.376 AY:0.102 AZ:0.905 | GX:-40.061 GY:-32.244 GZ:4.153 | T:30.46 C
1778008786.709882,I (54320) mpu6050 stream: AX:0.249 AY:0.148 AZ:1.340 | GX:-60.122 GY:-8.504 GZ:-16.351 | T:30.55 C
1778008786.713532,I (55320) mpu6050 stream: AX:0.494 AY:-0.063 AZ:0.924 | GX:14.809 GY:-4.122 GZ:-9.573 | T:30.60 C
1778008786.714680,I (56320) mpu6050 stream: AX:0.575 AY:0.183 AZ:0.865 | GX:-16.015 GY:38.534 GZ:-9.603 | T:30.55 C
1778008786.716000,I (57320) mpu6050 stream: AX:0.275 AY:0.098 AZ:1.021 | GX:4.656 GY:14.794 GZ:5.588 | T:30.69 C
1778008786.717224,I (58320) mpu6050 stream: AX:0.164 AY:0.059 AZ:1.102 | GX:4.076 GY:-22.611 GZ:-6.122 | T:30.69 C
1778008786.718364,I (59320) mpu6050 stream: AX:0.334 AY:0.103 AZ:1.017 | GX:-7.237 GY:1.771 GZ:-0.229 | T:30.69 C
1778008786.963136,I (60320) mpu6050 stream: AX:0.266 AY:0.084 AZ:0.927 | GX:0.076 GY:-21.908 GZ:-5.588 | T:30.65 C
1778008787.962864,I (61320) mpu6050 stream: AX:0.124 AY:-0.057 AZ:1.035 | GX:-4.168 GY:-5.267 GZ:-7.924 | T:30.65 C
1778008788.962770,I (62320) mpu6050 stream: AX:0.167 AY:0.142 AZ:1.013 | GX:-6.718 GY:5.344 GZ:-2.824 | T:30.65 C
1778008789.964750,I (63320) mpu6050 stream: AX:0.260 AY:0.170 AZ:1.010 | GX:-3.969 GY:2.412 GZ:0.519 | T:30.60 C
